Time;01:17:52;Date;05/03/19AcX;-8.36;AcY;-2.79;AcZ;3.35;Tmp;27.87;GyX;-166.00;GyY;214.00;GyZ;-7.00;
Time;01:17:52;Date;05/03/19AcX;-8.34;AcY;-2.81;AcZ;3.44;Tmp;27.82;GyX;-168.00;GyY;230.00;GyZ;8.00;
Time;01:17:52;Date;05/03/19AcX;-8.40;AcY;-2.79;AcZ;3.35;Tmp;27.87;GyX;-153.00;GyY;219.00;GyZ;-13.00;
Time;01:17:52;Date;05/03/19AcX;-8.37;AcY;-2.85;AcZ;3.42;Tmp;27.87;GyX;-165.00;GyY;199.00;GyZ;-15.00;
Time;01:17:52;Date;05/03/19AcX;-8.34;AcY;-2.82;AcZ;3.41;Tmp;27.92;GyX;-157.00;GyY;192.00;GyZ;-2.00;
Time;01:17:53;Date;05/03/19AcX;-8.35;Ac;4.00;
Time;01:17:53;Date;05/03/19AcX;-8.38;AcY;-2.87;AcZ;3.44;Tmp;27.78;GyX;-160.00;GyY;205.00;GyZ;18.00;
Time;01:17:53;Date;05/03/19AcX;-8.32;AcY;-2.77;AcZ;3.36;Tmp;27.78;GyX;-148.00;GyY;249.00;GyZ;-8.00;
Time;01:17:53;Date;05/03/19AcX;-8.34;AcY;-2.81;AcZ;3.30;Tmp;27.87;GyX;-151.00;GyY;228.00;GyZ;4.00;
Time;01:17:53;Date;05/03/19AcX;-8.43;AcY;-2.76;AcZ;3.38;Tmp;27.82;GyX;-163.00;GyY;227.00;GyZ;-2.00;
Time;01:17:53;Date;05/03/19AcX;-8.40;AcY;-2.79;AcZ;3.43;Tmp;27.78;GyX;-150.00;GyY;247.00;GyZ;-6.00;
Time;01:17:53;Date;05/03/19AcX;-8.41;AcY;-2.79;AcZ;3.43;Tmp;27.78;GyX;-166.00;GyY;241.00;GyZ;9.00;
Time;01:17:53;Date;05/03/19AcX;-8.36;AcY;-2.80;AcZ;3.37;Tmp;27.92;GyX;-153.00;GyY;230.00;GyZ;12.00;
Time;01:17:53;Date;05/03/19AcX;-8.39;AcY;-2.85;AcZ;3.36;Tmp;27.87;GyX;-162.00;GyY;235.00;GyZ;-5.00;
Time;01:17:53;Date;05/03/19AcX;-8.33;AcY;-2.80;AcZ;3.39;Tmp;27.82;GyX;-167.00;GyY;235.00;GyZ;-19.00;
Time;01:17:53;Date;05/03/19AcX;-8.33;AcY;-2.81;AcZ;3.41;Tmp;27.92;GyX;-160.00;GyY;208.00;GyZ;-5.00;
Time;01:17:54;Date;05/03/19AcX;-8.37;AcY;-2.83;AcZ;3.40;Tmp;27.92;GyX;-161.00;GyY;223.00;GyZ;20.00;
Time;01:17:54;Date;05/03/19AcX;-8.42;AcY;-2.85;AcZ;3.39;Tmp;27.87;GyX;-152.00;GyY;217.00;GyZ;3.00;
Time;01:17:54;Date;05/03/19AcX;-8.35;AcY;-2.79;AcZ;3.28;Tmp;27.87;GyX;-183.00;GyY;236.00;GyZ;-18.00;
Time;01:17:54;Date;05/03/19AcX;-8.32;AcY;-2.82;AcZ;3.42;Tmp;27.73;GyX;-133.00;GyY;219.00;GyZ;-12.00;
