Time;01:19:40;Date;05/03/19;AcX;-8.40;AcY;-2.49;AcZ;3.58;Tmp;27.73;GyX;-153.00;GyY;234.00;GyZ;-18.00;
Time;01:19:40;Date;05/03/19;AcX;-8.43;AcY;-2.45;AcZ;3.52;Tmp;27.59;GyX;-168.00;GyY;220.00;GyZ;40.00;
Time;01:19:40;Date;05/03/19;AcX;-8.37;AcY;-2.39;AcZ;3.50;Tmp;27.68;GyX;-150.00;GyY;230.00;GyZ;-10.00;
Time;01:19:40;Date;05/03/19;AcX;-8.38;AcY;-2.44;AcZ;3.60;Tmp;27.59;GyX;-143.00;GyY;201.00;GyZ;40.00;
Time;01:19:40;Date;05/03/19;AcX;-8.39;AcY;-2.44;AcZ;3.55;Tmp;27.68;GyX;-156.00;GyY;220.00;GyZ;-3.00;
Time;01:19:40;Date;05/03/19;AcX;-8.37;AcY;-2.47;AcZ;3.60;Tmp;27.73;GyX;-178.00;GyY;234.00;GyZ;23.00;
Time;01:19:40;Date;05/03/19;AcX;-8.43;AcY;-2.52;AcZ;3.57;Tmp;27.68;GyX;-151.00;GyY;210.00;GyZ;27.00;
Time;01:19:40;Date;05/03/19;AcX;-8.43;AcY;-2.42;AcZ;3.55;Tmp;27.68;GyX;-155.00;GyY;234.00;GyZ;-5.00;
Time;01:19:41;Date;05/03/19;AcX;-8.43;AcY;-2.47;AcZ;3.53;Tmp;27.68;GyX;-155.00;GyY;213.00;GyZ;-2.00;
Time;01:19:41;Date;05/03/19;AcX;-8.46;AcY;-2.43;AcZ;3.57;Tmp;27.78;GyX;-160.00;GyY;214.00;GyZ;-11.00;
Time;01:19:41;Date;05/03/19;AcX;-8.42;AcY;-2.45;AcZ;3.53;Tmp;27.54;GyX;-160.00;GyY;232.00;GyZ;18.00;
Time;01:19:41;Date;05/03/19;AcX;-8.37;AcY;-2.45;AcZ;3.57;Tmp;27.64;GyX;-174.00;GyY;262.00;GyZ;12.00;
Time;01:19:41;Date;05/03/19;AcX;-8.45;AcY;-2.46;AcZ;3.53;Tmp;27.59;GyX;-176.00;GyY;220.00;GyZ;3.00;
Time;01:19:41;Date;05/03/19;AcX;-8.45;AcY;-2.47;AcZ;3.55;Tmp;27.78;GyX;-152.00;GyY;237.00;GyZ;-2.00;
Time;01:19:41;Date;05/03/19;AcX;-8.42;AcY;-2.43;AcZ;3.52;Tmp;27.64;GyX;-158.00;GyY;217.00;GyZ;-6.00;
Time;01:19:41;Date;05/03/19;AcX;-8.40;AcY;-2.49;AcZ;3.50;Tmp;27.64;GyX;-142.00;GyY;235.00;GyZ;13.00;
